en_id,timestamp,temperature,humidity,brightness,gas_level,room_id,is_synthetic
1,2026-05-07 07:53:40,33.8,57.3,82.0,3411.0,,0
2,2026-05-07 07:54:10,33.7,57.5,82.0,3355.0,,0
3,2026-05-07 07:55:05,33.7,58.0,84.0,3438.0,,0
4,2026-05-07 07:55:35,33.6,58.1,85.0,3491.0,,0
5,2026-05-07 07:56:05,33.7,58.2,82.0,3392.0,,0
6,2026-05-07 07:56:35,33.8,58.0,84.0,3405.0,,0
7,2026-05-07 07:57:05,33.9,58.2,76.0,3063.0,,0
8,2026-05-07 07:57:35,33.9,58.3,85.0,3511.0,,0
9,2026-05-07 07:58:05,33.9,57.9,84.0,3347.0,,0
10,2026-05-07 07:58:10,34.0,57.9,84.0,3347.0,,0
11,2026-05-07 07:58:40,34.1,58.3,82.0,3353.0,,0
12,2026-05-07 07:59:10,34.2,57.8,83.0,3472.0,,0
13,2026-05-07 07:59:40,34.4,59.0,81.0,3309.0,,0
14,2026-05-07 08:00:10,34.4,56.9,84.0,3388.0,,0
15,2026-05-07 08:00:40,34.2,57.0,81.0,3362.0,,0
16,2026-05-07 08:01:10,34.2,58.3,83.0,3458.0,,0
17,2026-05-07 08:01:40,34.1,57.6,79.0,3303.0,,0
18,2026-05-07 08:02:15,34.0,57.6,80.0,3233.0,,0
19,2026-05-07 08:02:45,34.0,57.6,80.0,3261.0,,0
20,2026-05-07 08:03:15,34.0,57.5,80.0,3280.0,,0
21,2026-05-07 08:03:45,34.0,57.4,81.0,3280.0,,0
22,2026-05-07 08:04:15,33.9,57.6,77.0,3230.0,,0
23,2026-05-07 08:04:50,33.9,57.8,81.0,3257.0,,0
24,2026-05-07 08:05:15,33.9,57.8,78.0,3216.0,,0
25,2026-05-07 08:05:45,33.8,58.0,80.0,3257.0,,0
26,2026-05-07 08:06:20,33.7,58.3,79.0,3187.0,,0
27,2026-05-07 08:06:50,33.7,58.7,84.0,3493.0,,0
28,2026-05-07 08:07:20,33.7,58.4,84.0,4095.0,,0
29,2026-05-07 08:09:05,0.0,0.0,82.0,0.0,,0
30,2026-05-07 08:16:20,0.0,0.0,82.0,0.0,,0
31,2026-05-07 08:16:25,33.7,59.5,82.0,447.0,,0
32,2026-05-07 08:17:00,33.7,59.3,80.0,441.0,,0
33,2026-05-07 08:17:30,33.7,59.3,83.0,433.0,,0
34,2026-05-07 08:17:50,33.7,59.4,83.0,424.0,,0
35,2026-05-07 08:17:55,33.7,59.4,83.0,424.0,,0
36,2026-05-07 08:27:10,33.8,60.1,83.0,429.0,,0
37,2026-05-07 08:27:40,33.8,59.70000000000001,82.0,414.0,,0
38,2026-05-07 08:28:10,33.8,60.5,82.0,428.0,,0
39,2026-05-12 03:05:05,33.1,58.4,65.0,495.0,,0
40,2026-05-12 03:05:35,33.0,58.4,64.0,501.0,,0
41,2026-05-12 03:06:05,33.0,58.1,65.0,494.0,,0
42,2026-05-12 03:06:40,33.0,58.9,65.0,503.0,,0
43,2026-05-12 03:07:10,32.9,58.7,65.0,420.0,,0
44,2026-05-12 03:07:40,33.4,70.5,62.0,482.0,,0
45,2026-05-12 03:08:10,33.2,57.6,60.0,471.0,,0
46,2026-05-12 03:08:40,33.2,57.7,64.0,495.0,,0
47,2026-05-12 03:09:10,33.2,58.0,66.0,464.0,,0
48,2026-05-12 03:09:40,33.2,57.6,65.0,485.0,,0
49,2026-05-12 03:10:10,33.1,57.1,58.0,480.0,,0
50,2026-05-12 03:10:40,33.1,57.5,62.0,484.0,,0
51,2026-05-12 03:11:10,33.1,57.5,62.0,487.0,,0
52,2026-05-12 03:12:10,0.0,0.0,61.0,0.0,,0
53,2026-05-12 03:12:45,0.0,0.0,65.0,0.0,,0
54,2026-05-12 03:13:15,0.0,0.0,63.0,0.0,,0
55,2026-05-12 03:30:40,33.2,57.9,66.0,465.0,,0
56,2026-05-12 03:31:10,33.2,57.6,67.0,445.0,,0
57,2026-05-12 03:31:45,33.3,57.7,60.0,462.0,,0
58,2026-05-12 03:32:00,0.0,0.0,66.0,0.0,,0
59,2026-05-12 03:32:30,33.3,58.29999999999999,61.0,438.0,,0
60,2026-05-12 03:33:00,33.4,57.1,55.0,447.0,,0
61,2026-05-12 03:33:30,33.4,57.2,63.0,449.0,,0
62,2026-05-12 03:34:05,33.3,57.0,62.0,448.0,,0
63,2026-05-12 03:34:15,33.3,57.1,62.5,448.5,,0
64,2026-05-12 03:34:35,33.3,56.70000000000001,60.0,433.0,,0
65,2026-05-12 03:35:05,33.3,57.20000000000001,64.0,437.0,,0
66,2026-05-12 03:35:35,33.3,56.1,66.0,439.0,,0
67,2026-05-12 03:36:05,33.2,55.6,61.0,445.0,,0
68,2026-05-12 03:36:35,33.2,55.9,64.0,445.0,,0
69,2026-05-12 03:36:40,33.2,55.9,64.0,432.0,,0
70,2026-05-12 03:37:40,33.25,56.28,65.0,439.5,,0
71,2026-05-12 03:38:10,33.3,56.0,60.0,435.0,,0
72,2026-05-12 03:38:30,0.0,0.0,57.0,0.0,,0
73,2026-05-12 03:39:00,33.3,55.79999999999999,0.0,443.0,,0
74,2026-05-12 03:39:30,33.3,55.6,59.0,432.0,,0
75,2026-05-12 03:39:35,33.3,55.6,59.0,432.0,,0
76,2026-05-12 03:40:05,33.3,55.9,60.0,433.0,,0
77,2026-05-12 03:40:35,33.4,56.0,62.0,440.0,,0
78,2026-05-12 03:40:45,33.4,0.0,57.0,0.0,,0
79,2026-05-12 03:41:15,33.4,56.0,63.0,432.0,,0
80,2026-05-12 03:41:20,33.4,56.0,63.0,432.0,,0
81,2026-05-12 03:41:55,0.0,0.0,68.0,0.0,,0
82,2026-05-12 03:42:25,33.4,55.70000000000001,68.0,432.0,,0
83,2026-05-12 03:42:55,33.3,55.4,67.0,435.0,,0
84,2026-05-12 03:43:25,33.3,55.5,68.0,435.0,,0
85,2026-05-12 03:43:30,33.3,55.5,68.0,431.0,,0
86,2026-05-12 03:44:00,33.3,55.9,64.0,433.0,,0
87,2026-05-12 03:44:30,33.4,56.1,72.0,434.0,,0
88,2026-05-12 03:44:40,33.4,56.1,72.0,434.0,,0
89,2026-05-12 03:45:30,33.4,55.9,71.5,439.5,,0
90,2026-05-12 03:46:00,33.4,55.79999999999999,71.0,384.0,,0
91,2026-05-12 03:46:30,33.4,56.1,71.0,435.0,,0
92,2026-05-12 03:46:35,33.4,56.1,71.0,435.0,,0
93,2026-05-12 03:47:05,33.4,56.4,69.0,435.0,,0
94,2026-05-12 03:47:35,33.5,56.5,72.0,430.0,,0
95,2026-05-12 03:48:05,33.5,56.29999999999999,71.0,417.0,,0
96,2026-05-12 03:48:35,33.5,56.70000000000001,69.0,392.0,,0
97,2026-05-12 03:49:05,33.5,56.6,70.0,432.0,,0
98,2026-05-12 03:49:50,33.5,56.7,64.0,426.0,,0
99,2026-05-12 03:50:10,33.5,56.9,69.0,432.0,,0
100,2026-05-12 03:50:40,33.5,57.2,65.0,445.0,,0
101,2026-05-12 03:51:10,33.5,57.1,64.0,439.0,,0
102,2026-05-12 03:51:40,33.5,56.3,64.0,541.0,,0
103,2026-05-12 03:52:10,33.5,56.3,62.0,436.0,,0
104,2026-05-12 03:52:45,33.5,55.70000000000001,65.0,417.0,,0
105,2026-05-12 03:53:15,33.5,55.5,63.0,430.0,,0
106,2026-05-12 03:53:45,33.5,55.6,67.0,419.0,,0
107,2026-05-13 00:00:00,27.5,78.1,1.7,293.9,,1
108,2026-05-13 00:00:52,27.6,77.8,3.4,296.6,,1
109,2026-05-13 00:01:46,27.8,77.9,3.8,293.6,,1
110,2026-05-13 00:02:23,27.6,78.5,4.7,303.1,,1
111,2026-05-13 00:02:48,27.5,78.4,3.2,317.4,,1
112,2026-05-13 00:03:39,27.4,78.5,4.8,301.9,,1
113,2026-05-13 00:04:39,27.3,78.4,4.1,309.3,,1
114,2026-05-13 00:05:10,27.3,79.0,2.4,303.9,,1
115,2026-05-13 00:05:45,27.4,79.3,1.4,292.9,,1
116,2026-05-13 00:06:34,27.3,79.3,1.0,292.7,,1
117,2026-05-13 00:07:32,27.3,79.1,1.0,300.2,,1
118,2026-05-13 00:08:27,27.4,79.0,1.0,307.8,,1
119,2026-05-13 00:09:07,27.6,78.8,1.0,307.6,,1
120,2026-05-13 00:10:06,27.4,78.8,1.0,301.6,,1
121,2026-05-13 00:10:37,27.5,79.1,2.7,306.6,,1
122,2026-05-13 00:11:30,27.3,79.2,1.0,312.6,,1
123,2026-05-13 00:12:23,27.2,79.7,1.0,313.6,,1
124,2026-05-13 00:13:01,27.2,79.3,1.0,294.4,,1
125,2026-05-13 00:13:31,27.1,79.9,1.0,305.4,,1
126,2026-05-13 00:13:59,27.0,80.0,3.1,306.1,,1
127,2026-05-13 00:14:46,27.2,80.0,1.5,310.7,,1
128,2026-05-13 00:15:39,27.2,80.3,1.2,287.2,,1
129,2026-05-13 00:16:24,27.1,80.0,1.4,286.4,,1
130,2026-05-13 00:17:17,27.1,80.3,1.0,297.0,,1
131,2026-05-13 00:17:48,27.1,80.1,1.2,294.7,,1
132,2026-05-13 00:18:14,27.2,80.5,1.0,277.3,,1
133,2026-05-13 00:19:05,27.2,80.6,2.4,274.1,,1
134,2026-05-13 00:19:33,27.4,80.8,2.5,270.6,,1
135,2026-05-13 00:20:29,27.4,80.9,3.1,257.8,,1
136,2026-05-13 00:20:49,27.6,81.0,4.1,263.3,,1
137,2026-05-13 00:21:45,27.7,80.6,2.8,261.0,,1
138,2026-05-13 00:22:31,27.9,81.0,4.4,240.5,,1
139,2026-05-13 00:23:07,27.9,80.9,4.3,234.6,,1
140,2026-05-13 00:23:54,28.0,81.2,4.1,243.8,,1
141,2026-05-13 00:24:40,28.0,81.5,5.0,242.6,,1
142,2026-05-13 00:25:30,27.8,82.0,3.3,262.2,,1
143,2026-05-13 00:26:13,27.7,82.3,2.4,253.5,,1
144,2026-05-13 00:26:43,27.6,82.0,1.1,247.8,,1
145,2026-05-13 00:27:16,27.8,81.7,2.2,255.5,,1
146,2026-05-13 00:28:05,27.6,81.7,3.6,271.8,,1
147,2026-05-13 00:29:02,27.4,81.6,3.6,281.8,,1
148,2026-05-13 00:29:38,27.2,81.3,5.0,280.6,,1
149,2026-05-13 00:30:24,27.4,81.2,3.0,294.5,,1
150,2026-05-13 00:31:05,27.3,81.1,2.9,311.0,,1
151,2026-05-13 00:31:28,27.4,80.8,1.0,308.9,,1
152,2026-05-13 00:32:21,27.3,80.6,2.9,306.2,,1
153,2026-05-13 00:32:53,27.2,80.4,1.8,303.7,,1
154,2026-05-13 00:33:31,27.1,80.2,1.2,293.2,,1
155,2026-05-13 00:34:07,27.3,80.5,1.9,296.6,,1
156,2026-05-13 00:35:04,27.3,80.6,1.0,292.8,,1
157,2026-05-13 00:35:54,27.3,80.7,1.5,284.2,,1
158,2026-05-13 00:36:28,27.2,81.2,2.8,292.7,,1
159,2026-05-13 00:37:13,27.2,81.4,3.5,284.6,,1
160,2026-05-13 00:37:44,27.2,81.6,3.6,283.5,,1
161,2026-05-13 00:38:15,27.3,81.1,2.8,269.0,,1
162,2026-05-13 00:38:52,27.3,80.5,2.9,275.1,,1
163,2026-05-13 00:39:21,27.5,80.1,1.3,276.0,,1
164,2026-05-13 00:40:00,27.4,80.6,2.9,285.5,,1
165,2026-05-13 00:40:26,27.3,81.1,3.9,274.0,,1
166,2026-05-13 00:41:00,27.4,81.1,2.1,290.6,,1
167,2026-05-13 00:41:40,27.6,81.0,1.8,299.9,,1
168,2026-05-13 00:42:14,27.7,80.4,1.3,286.7,,1
169,2026-05-13 00:42:49,27.6,80.2,1.0,295.7,,1
170,2026-05-13 00:43:34,27.5,80.8,1.0,283.2,,1
171,2026-05-13 00:44:32,27.5,81.1,1.8,270.4,,1
172,2026-05-13 00:45:04,27.5,81.3,3.3,279.9,,1
173,2026-05-13 00:45:27,27.5,81.6,4.9,306.0,,1
174,2026-05-13 00:46:08,27.5,81.7,4.5,308.9,,1
175,2026-05-13 00:46:58,27.5,82.2,5.0,304.1,,1
176,2026-05-13 00:47:21,27.4,82.7,3.0,281.9,,1
177,2026-05-13 00:47:57,27.4,82.6,4.2,287.1,,1
178,2026-05-13 00:48:41,27.6,82.5,2.3,276.7,,1
179,2026-05-13 00:49:07,27.6,82.9,4.1,274.6,,1
180,2026-05-13 00:50:00,27.6,82.4,4.9,270.1,,1
181,2026-05-13 00:50:57,27.7,82.6,2.7,276.2,,1
182,2026-05-13 00:51:45,27.7,83.0,1.2,269.9,,1
183,2026-05-13 00:52:34,27.7,83.5,2.4,295.8,,1
184,2026-05-13 00:53:00,27.8,83.6,3.3,302.2,,1
185,2026-05-13 00:53:53,27.7,83.9,5.0,290.2,,1
186,2026-05-13 00:54:16,27.7,84.0,4.1,287.4,,1
187,2026-05-13 00:55:01,27.6,83.9,3.9,298.1,,1
188,2026-05-13 00:55:58,27.5,83.9,3.9,293.8,,1
189,2026-05-13 00:56:27,27.4,83.9,4.6,308.2,,1
190,2026-05-13 00:56:53,27.6,83.5,3.3,309.5,,1
191,2026-05-13 00:57:13,27.7,83.1,2.5,322.5,,1
192,2026-05-13 00:58:09,27.8,82.7,4.2,317.2,,1
193,2026-05-13 00:58:44,27.7,82.8,3.0,321.7,,1
194,2026-05-13 00:59:35,27.9,83.1,1.7,307.1,,1
195,2026-05-13 01:00:15,27.9,83.1,1.0,292.5,,1
196,2026-05-13 01:00:49,27.8,83.5,1.0,280.4,,1
197,2026-05-13 01:01:13,27.7,84.1,2.3,264.6,,1
198,2026-05-13 01:01:38,27.7,83.8,1.0,285.4,,1
199,2026-05-13 01:02:12,27.5,83.4,1.1,292.9,,1
200,2026-05-13 01:03:05,27.4,83.3,2.7,311.5,,1
201,2026-05-13 01:03:30,27.5,83.5,1.8,303.0,,1
202,2026-05-13 01:04:30,27.4,83.7,3.5,302.6,,1
203,2026-05-13 01:04:58,27.4,83.4,2.8,276.1,,1
204,2026-05-13 01:05:51,27.4,83.0,3.6,268.0,,1
205,2026-05-13 01:06:27,27.5,83.3,3.3,267.6,,1
206,2026-05-13 01:07:08,27.4,83.7,2.0,264.6,,1
207,2026-05-13 01:07:54,27.5,83.6,1.0,290.1,,1
208,2026-05-13 01:08:24,27.7,83.1,1.3,286.7,,1
209,2026-05-13 01:08:44,27.8,82.8,1.0,288.4,,1
210,2026-05-13 01:09:16,27.7,82.4,2.9,289.3,,1
211,2026-05-13 01:09:48,27.8,82.5,2.8,305.7,,1
212,2026-05-13 01:10:37,27.9,82.2,2.7,293.2,,1
213,2026-05-13 01:11:21,28.0,81.9,3.7,300.8,,1
214,2026-05-13 01:11:57,28.0,81.5,4.8,292.8,,1
215,2026-05-13 01:12:26,28.0,81.3,5.0,306.7,,1
216,2026-05-13 01:13:05,28.0,81.2,2.8,294.3,,1
217,2026-05-13 01:13:33,28.1,81.2,4.7,288.7,,1
218,2026-05-13 01:14:27,28.1,81.6,2.7,286.0,,1
219,2026-05-13 01:15:23,28.1,81.4,5.0,264.1,,1
220,2026-05-13 01:16:21,28.1,81.5,5.0,253.0,,1
221,2026-05-13 01:17:02,28.1,81.0,4.9,248.4,,1
222,2026-05-13 01:17:37,28.3,80.7,4.0,236.6,,1
223,2026-05-13 01:17:58,28.2,80.4,4.7,236.6,,1
224,2026-05-13 01:18:33,28.2,80.4,5.0,257.7,,1
225,2026-05-13 01:19:29,28.3,80.3,5.0,278.0,,1
226,2026-05-13 01:20:26,28.3,80.4,2.9,268.9,,1
227,2026-05-13 01:20:57,28.1,80.1,4.7,268.4,,1
228,2026-05-13 01:21:30,28.3,80.2,4.7,279.5,,1
229,2026-05-13 01:22:22,28.5,79.9,5.0,260.1,,1
230,2026-05-13 01:23:05,28.4,79.7,4.9,274.3,,1
231,2026-05-13 01:23:48,28.5,79.8,5.0,264.4,,1
232,2026-05-13 01:24:37,28.6,79.7,3.8,287.5,,1
233,2026-05-13 01:25:35,28.7,79.8,2.0,294.8,,1
234,2026-05-13 01:26:28,28.8,79.3,1.4,282.2,,1
235,2026-05-13 01:27:25,28.8,79.5,2.6,299.5,,1
236,2026-05-13 01:27:56,28.6,79.5,3.2,293.5,,1
237,2026-05-13 01:28:24,28.7,78.9,1.7,280.8,,1
238,2026-05-13 01:28:49,28.9,78.6,1.0,276.8,,1
239,2026-05-13 01:29:19,28.9,78.7,2.1,290.8,,1
240,2026-05-13 01:29:56,28.7,78.9,1.1,284.9,,1
241,2026-05-13 01:30:50,28.7,79.2,3.0,301.3,,1
242,2026-05-13 01:31:32,28.5,79.1,4.0,295.0,,1
243,2026-05-13 01:31:52,28.6,79.1,5.0,294.4,,1
244,2026-05-13 01:32:13,28.5,79.4,2.6,308.9,,1
245,2026-05-13 01:32:57,28.4,79.0,1.4,306.7,,1
246,2026-05-13 01:33:40,28.5,78.6,2.9,297.9,,1
247,2026-05-13 01:34:17,28.3,78.6,1.5,289.1,,1
248,2026-05-13 01:34:40,28.4,78.1,3.3,292.0,,1
249,2026-05-13 01:35:09,28.4,78.4,2.2,279.3,,1
250,2026-05-13 01:35:37,28.3,78.3,2.1,266.3,,1
251,2026-05-13 01:36:08,28.3,78.3,1.8,274.0,,1
252,2026-05-13 01:36:30,28.3,78.1,3.3,278.5,,1
253,2026-05-13 01:36:57,28.2,77.9,3.5,262.7,,1
254,2026-05-13 01:37:53,28.1,78.2,4.2,284.1,,1
255,2026-05-13 01:38:34,28.2,78.6,2.3,289.0,,1
256,2026-05-13 01:39:24,28.2,78.7,3.4,271.3,,1
257,2026-05-13 01:40:18,28.2,78.9,1.9,271.1,,1
258,2026-05-13 01:41:17,28.4,78.8,3.9,267.8,,1
259,2026-05-13 01:41:50,28.4,78.4,1.9,251.8,,1
260,2026-05-13 01:42:48,28.4,78.4,1.4,277.0,,1
261,2026-05-13 01:43:35,28.6,78.2,3.4,277.1,,1
262,2026-05-13 01:43:59,28.5,78.2,4.3,297.7,,1
263,2026-05-13 01:44:19,28.4,78.5,2.8,308.1,,1
264,2026-05-13 01:44:46,28.2,78.3,4.4,304.4,,1
265,2026-05-13 01:45:25,28.4,77.8,3.6,300.6,,1
266,2026-05-13 01:46:08,28.5,77.9,5.0,291.2,,1
267,2026-05-13 01:46:58,28.7,78.3,3.7,300.8,,1
268,2026-05-13 01:47:49,28.7,77.9,3.7,294.7,,1
269,2026-05-13 01:48:24,28.5,78.0,2.8,291.5,,1
270,2026-05-13 01:49:12,28.7,78.2,3.7,285.7,,1
271,2026-05-13 01:49:45,28.8,78.2,5.0,274.9,,1
272,2026-05-13 01:50:28,28.9,78.1,4.8,272.1,,1
273,2026-05-13 01:51:13,28.7,78.0,3.6,280.4,,1
274,2026-05-13 01:52:07,28.9,78.0,3.7,297.2,,1
275,2026-05-13 01:52:56,29.1,78.1,2.9,314.7,,1
276,2026-05-13 01:53:22,29.0,77.8,2.4,323.5,,1
277,2026-05-13 01:53:53,28.9,78.2,3.6,302.2,,1
278,2026-05-13 01:54:42,28.9,77.9,3.9,304.6,,1
279,2026-05-13 01:55:14,28.8,77.6,5.0,281.0,,1
280,2026-05-13 01:56:07,28.8,78.1,4.9,290.2,,1
281,2026-05-13 01:56:27,28.9,77.6,3.0,309.7,,1
282,2026-05-13 01:57:12,28.8,78.2,4.7,299.9,,1
283,2026-05-13 01:58:00,28.7,78.5,5.0,285.4,,1
284,2026-05-13 01:58:21,28.9,78.5,5.0,288.0,,1
285,2026-05-13 01:59:05,28.9,78.7,3.5,271.4,,1
286,2026-05-13 01:59:28,29.0,78.7,3.0,264.6,,1
