timestamp,hour_of_day,day_of_week,temperature,humidity,brightness,gas_level,device_type,action_label
2026-05-14 06:06:13,6,3,27.9,71.4,1.7,355.4,fan,turn_off
2026-05-13 05:38:02,5,2,28.1,74.7,1.6,365.8,light,turn_on
2026-05-14 02:43:59,2,3,28.9,74.2,3.2,298.7,fan,turn_off
2026-05-13 11:44:42,11,2,33.5,64.1,89.4,528.9,light,turn_off
2026-05-14 00:18:49,0,3,27.0,78.2,1.0,278.6,fan,turn_off
2026-05-13 05:29:30,5,2,28.2,74.0,8.2,362.8,fan,turn_off
2026-05-13 09:21:52,9,2,33.3,64.2,90.1,577.3,light,turn_off
2026-05-13 10:14:02,10,2,33.2,64.5,83.9,523.1,light,turn_off
2026-05-13 07:00:08,7,2,28.0,73.6,20.1,3845.2,fan,turn_on
2026-05-13 13:06:27,13,2,33.1,61.0,81.2,473.4,fan,turn_on
2026-05-13 03:26:15,3,2,27.2,73.1,4.8,288.8,light,turn_on
2026-05-14 02:39:50,2,3,28.7,75.2,2.3,288.3,light,turn_on
2026-05-13 20:53:52,20,2,31.7,64.2,29.8,460.8,fan,turn_on
2026-05-13 08:32:55,8,2,34.3,69.2,73.2,3300.0,light,turn_off
2026-05-13 17:00:04,17,2,34.7,61.5,71.7,461.9,fan,turn_on
2026-05-13 13:05:52,13,2,33.2,60.5,78.5,438.1,fan,turn_on
2026-05-13 15:57:12,15,2,35.4,59.6,84.6,568.1,fan,turn_on
2026-05-14 02:38:09,2,3,28.9,75.6,3.0,318.1,light,turn_on
2026-05-13 15:34:37,15,2,35.1,58.8,82.1,508.4,light,turn_off
2026-05-14 01:49:45,1,3,28.7,74.2,2.7,245.5,fan,turn_off
2026-05-13 17:53:28,17,2,31.9,63.5,26.3,417.5,fan,turn_on
2026-05-13 09:45:59,9,2,33.5,63.7,87.3,547.1,light,turn_off
2026-05-13 06:11:03,6,2,27.7,71.9,3.4,389.7,light,turn_on
2026-05-14 01:45:46,1,3,28.5,74.0,3.1,271.0,light,turn_on
2026-05-14 06:02:43,6,3,27.9,72.5,3.2,350.4,light,turn_on
2026-05-14 02:00:08,2,3,28.8,75.3,3.5,296.0,light,turn_on
2026-05-12 03:39:35,3,1,33.3,55.6,59.0,432.0,fan,turn_off
2026-05-14 01:58:56,1,3,28.9,75.3,2.4,272.9,light,turn_on
2026-05-14 06:14:37,6,3,28.1,70.5,5.3,386.6,light,turn_on
2026-05-07 07:57:35,7,3,33.9,58.3,85.0,3511.0,fan,turn_on
2026-05-13 13:44:13,13,2,33.4,62.3,81.2,505.2,fan,turn_on
2026-05-07 07:59:10,7,3,34.2,57.8,83.0,3472.0,fan,turn_on
2026-05-14 04:51:49,4,3,27.7,72.4,3.8,363.5,light,turn_on
2026-05-13 09:39:13,9,2,33.0,63.2,92.0,599.8,light,turn_off
2026-05-13 17:15:42,17,2,31.8,62.6,24.4,419.5,fan,turn_on
2026-05-13 22:31:21,22,2,28.8,72.2,2.3,312.3,fan,turn_on
2026-05-13 14:41:09,14,2,33.7,61.4,79.2,556.0,light,turn_off
2026-05-14 01:02:51,1,3,27.5,76.6,2.5,311.9,light,turn_on
2026-05-14 05:53:02,5,3,27.9,73.9,3.3,401.9,fan,turn_off
2026-05-13 22:11:04,22,2,28.3,73.0,3.7,276.3,fan,turn_on
2026-05-13 07:02:16,7,2,28.5,72.0,45.6,3255.5,light,turn_off
2026-05-12 03:31:45,3,1,33.3,57.7,60.0,462.0,light,turn_on
2026-05-14 06:46:26,6,3,27.3,71.9,3.5,368.2,fan,turn_off
2026-05-13 09:03:47,9,2,33.8,64.7,80.5,1447.0,fan,turn_on
2026-05-14 02:41:19,2,3,28.7,75.2,2.5,275.9,light,turn_on
